Matrix,Rows,Columns,nnz,Density,Avg NNZ per Row,Variance NNZ per Row,CV NNZ per Row
cant.mtx,62451,62451,4007383,1.027501e-03,64.1684,197.5785,0.2191
consph.mtx,83334,83334,6010480,8.654953e-04,72.1252,364.0538,0.2645
cop20k_A.mtx,121192,121192,2624331,1.786778e-04,21.6543,190.2375,0.6369
mac_econ_fwd500.mtx,206500,206500,1273389,2.986214e-05,6.1665,19.6769,0.7193
mc2depi.mtx,525825,525825,2100225,7.595972e-06,3.9942,0.0058,0.0191
pdb1HYS.mtx,36417,36417,4344765,3.276106e-03,119.3060,1015.0841,0.2670
rma10.mtx,46835,46835,2374001,1.082281e-03,50.6886,771.7615,0.5481
scircuit.mtx,170998,170998,958936,3.279499e-05,5.6079,19.2911,0.7832
shipsec1.mtx,140874,140874,7813404,3.937119e-04,55.4638,122.6514,0.1997
webbase-1M.mtx,1000005,1000005,3105536,3.105505e-06,3.1055,642.3797,8.1613
