Matrix,Rows,Columns,nnz,Kernel,Grid_Size,Block_Size,Avg_Time(ms),Avg_Err,GFLOP/s,Bandwidth(GB/s)
cant.mtx,62451,62451,4007383,coo flat,125231,32,0.784486,2.08938e-07,10.2166,57.6827
cant.mtx,62451,62451,4007383,csr scalar,1952,32,0.0955392,1.33546e-07,83.8898,319.819
cant.mtx,62451,62451,4007383,csr vector,62451,32,0.258458,2.07705e-07,31.01,118.222
cant.mtx,62451,62451,4007383,coo seg,31308,32,0.132915,1.96559e-07,60.2998,340.452
cant.mtx,62451,62451,4007383,coo flat,62616,64,0.593613,1.99886e-07,13.5017,76.2303
cant.mtx,62451,62451,4007383,csr scalar,976,64,0.098816,1.33546e-07,81.108,309.214
cant.mtx,62451,62451,4007383,csr vector,31226,64,0.135578,2.07705e-07,59.1157,225.371
cant.mtx,62451,62451,4007383,coo seg,15654,64,0.087552,1.96559e-07,91.5429,516.85
cant.mtx,62451,62451,4007383,coo flat,41744,96,0.602726,1.92858e-07,13.2975,75.0777
cant.mtx,62451,62451,4007383,csr scalar,651,96,0.0974848,1.33546e-07,82.2155,313.436
cant.mtx,62451,62451,4007383,csr vector,20817,96,0.125952,2.07705e-07,63.6335,242.595
cant.mtx,62451,62451,4007383,coo seg,10436,96,0.087552,1.96559e-07,91.5429,516.85
cant.mtx,62451,62451,4007383,coo flat,31308,128,0.59863,1.95031e-07,13.3885,75.5914
cant.mtx,62451,62451,4007383,csr scalar,488,128,0.0968704,1.33546e-07,82.737,315.424
cant.mtx,62451,62451,4007383,csr vector,15613,128,0.120422,2.07705e-07,66.5554,253.734
cant.mtx,62451,62451,4007383,coo seg,7827,128,0.0869376,1.96559e-07,92.1899,520.503
cant.mtx,62451,62451,4007383,coo flat,25047,160,0.61481,2.00401e-07,13.0362,73.6021
cant.mtx,62451,62451,4007383,csr scalar,391,160,0.0956416,1.33546e-07,83.8,319.477
cant.mtx,62451,62451,4007383,csr vector,12491,160,0.125645,2.07705e-07,63.7891,243.188
